contrast	Subtype	estimate	SE	df	z.ratio	p.value
Supplementary Motor Cortex - Precuneus	L	-0.05397020034461208	0.014522204002893975	Inf	-3.7163918323869387	0.3517784736212033
Supplementary Motor Cortex - Brainstem	L	0.012206147714726667	0.014522204002893979	Inf	0.8405161993519875	1
Supplementary Motor Cortex - Superior Parietal Lobule	L	-0.017664988523674735	0.014522204002893975	Inf	-1.2164123655165888	1
Supplementary Motor Cortex - Hippocampus	L	-0.11346336294322217	0.01452220400289398	Inf	-7.813095238202908	1.1907141939104804e-11
Supplementary Motor Cortex - Occipital Fusiform Gyrus	L	-0.11416071121966667	0.014522204002893977	Inf	-7.861114690092275	8.096856518591267e-12
Supplementary Motor Cortex - Supramarginal Gyrus	L	-0.05135902476546167	0.014522204002893972	Inf	-3.5365860963822633	0.5808885732740385
Supplementary Motor Cortex - Gyrus Rectus	L	-0.06396777069040108	0.014522204002893979	Inf	-4.404825237109574	0.022453152170961332
Supplementary Motor Cortex - Middle Temporal Gyrus	L	-0.11620085476692413	0.014522204002893982	Inf	-8.001599119787027	2.619571226603057e-12
Supplementary Motor Cortex - Posterior Orbital Gyrus	L	-0.08377724933578587	0.014522204002893977	Inf	-5.76890734485556	1.7114198293533e-5
Supplementary Motor Cortex - Amygdala	L	-0.11137032306237778	0.014522204002893979	Inf	-7.668968363217039	3.715028285000699e-11
Supplementary Motor Cortex - Postcentral Gyrus Medial Segment	L	0.02223574076639856	0.014522204002893979	Inf	1.5311546898781638	1
Supplementary Motor Cortex - Anterior Insula	L	-0.06101684831985852	0.01452220400289398	Inf	-4.201624512897567	0.0552591587647262
Supplementary Motor Cortex - Optic Chiasm	L	0.001455366708786432	0.014522204002893979	Inf	0.1002166550267719	1
Supplementary Motor Cortex - Superior Frontal Gyrus	L	-0.020429535680166422	0.014522204002893979	Inf	-1.4067792792399303	1
Supplementary Motor Cortex - Caudate	L	0.03530345630398962	0.014522204002893977	Inf	2.4309985107601	0.9999999999999927
Supplementary Motor Cortex - Lingual Gyrus	L	-0.10101091589067758	0.014522204002893977	Inf	-6.955618848939746	7.529362133773532e-9
Supplementary Motor Cortex - Precentral Gyrus Medial Segment	L	0.011771435040131284	0.01452220400289398	Inf	0.8105818536763068	1
Supplementary Motor Cortex - Lateral Orbital Gyrus	L	-0.051824349403110564	0.014522204002893979	Inf	-3.5686283840099637	0.5369323470998312
Supplementary Motor Cortex - Basal Forebrain	L	-0.07337763616736526	0.014522204002893979	Inf	-5.052789242785916	9.335063668446386e-4
Supplementary Motor Cortex - Subcallosal Area	L	-0.060010447189323926	0.014522204002893982	Inf	-4.1323236595054755	0.07413921083852382
Supplementary Motor Cortex - Posterior Cingulate Gyrus	L	-0.0639673786140264	0.014522204002893984	Inf	-4.404798238702541	0.02245591705385408
Supplementary Motor Cortex - Angular Gyrus	L	-0.07215885352914028	0.014522204002893982	Inf	-4.968863783676395	0.0014435369421058608
Supplementary Motor Cortex - Frontal Pole	L	-0.018805024981097623	0.01452220400289398	Inf	-1.2949153570181333	1
Supplementary Motor Cortex - Frontal Operculum	L	-0.06661009295272496	0.014522204002893984	Inf	-4.586775735931743	0.009609139784192866
Supplementary Motor Cortex - Parietal Operculum	L	-0.05867645621933586	0.014522204002893979	Inf	-4.040464946480771	0.1081245648042557
Supplementary Motor Cortex - Cuneus	L	-0.06695729696148825	0.014522204002893982	Inf	-4.610684228657373	0.008571933979729107
Supplementary Motor Cortex - Anterior Orbital Gyrus	L	-0.0408007526880404	0.01452220400289398	Inf	-2.8095427305600196	0.9999767276623803
Supplementary Motor Cortex - Cerebellum White Matter	L	-0.020355526753940506	0.014522204002893982	Inf	-1.4016830193188348	1
Supplementary Motor Cortex - Superior Temporal Gyrus	L	-0.09398673932984644	0.014522204002893982	Inf	-6.471933551623209	2.0754312946014153e-7
Supplementary Motor Cortex - Pallidum	L	0.049256510170600565	0.014522204002893982	Inf	3.391806791915658	0.7745965442742885
Supplementary Motor Cortex - Cerebellum Exterior	L	-0.019884711751482098	0.01452220400289398	Inf	-1.3692626647800485	1
Supplementary Motor Cortex - Superior Occipital Gyrus	L	-0.04137888321872181	0.01452220400289398	Inf	-2.8493528400011345	0.9999187123590585
Supplementary Motor Cortex - Medial Frontal Cortex	L	-0.06906393577811687	0.014522204002893982	Inf	-4.7557475273280705	0.004231977302487477
Supplementary Motor Cortex - Occipital Pole	L	-0.07065763703327615	0.01452220400289398	Inf	-4.865489909052064	0.002446029486292467
Supplementary Motor Cortex - Posterior Insula	L	-0.0647927816832615	0.01452220400289398	Inf	-4.461635552726681	0.017295430653340826
Supplementary Motor Cortex - (Cerebellar Vermal Lobules I-V)	L	0.032611201037561405	0.014522204002893979	Inf	2.2456096217256456	1
Central Operculum - Triangular Part of the Inferior Frontal Gyrus	L	0.017348949279164458	0.014522204002893984	Inf	1.1946498806728758	1
Central Operculum - Thalamus Proper	L	0.03643997440175731	0.014522204002893986	Inf	2.509259227765672	0.9999999999954207
Central Operculum - Putamen	L	0.07322857560221421	0.014522204002893986	Inf	5.04252492167313	9.84989789059476e-4
Central Operculum - Inferior Occipital Gyrus	L	-0.03083436430636858	0.014522204002893986	Inf	-2.1232565181031684	1
Central Operculum - Calcarine Cortex	L	0.022394558143424725	0.01452220400289398	Inf	1.5420908657502639	1
Central Operculum - Entorhinal Area	L	-0.04329258749849438	0.014522204002893984	Inf	-2.9811306527485106	0.9979066871075937
Central Operculum - Postcentral Gyrus	L	0.06337285066326002	0.014522204002893982	Inf	4.3638590017487076	0.027038428127381664
Central Operculum - Middle Cingulate Gyrus	L	0.05572847008942182	0.01452220400289399	Inf	3.837466412007174	0.23406810234187214
Central Operculum - Medial Orbital Gyrus	L	0.008943037945194965	0.014522204002893984	Inf	0.6158182286526753	1
Central Operculum - (Cerebellar Vermal Lobules VI-VII)	L	0.0889978157349953	0.01452220400289399	Inf	6.128395918226998	1.9041033099131965e-6
Central Operculum - Cerebral White Matter	L	0.1239282845897754	0.014522204002893986	Inf	8.533710486719437	0
Central Operculum - Middle Occipital Gyrus	L	-0.019898735941076957	0.01452220400289399	Inf	-1.3702283714725072	1
Central Operculum - Planum Polare	L	-0.025103080686927265	0.014522204002893984	Inf	-1.7285999206404705	1
