Dataset,Subtype,Region,ZS Gray Matter Volume,Cortical Region,Time
ADNI_AD,0,Posterior Cingulate Gyrus,-0.7934342594103772,Cing,AD
ADNI_AD,0,Posterior Insula,-0.6783142732491114,Ins,AD
ADNI_AD,0,Posterior Orbital Gyrus,-0.7118249479518864,FL,AD
ADNI_AD,0,Precentral Gyrus,-0.3258501884414423,FL,AD
ADNI_AD,0,Precentral Gyrus Medial Segment,-0.21808227462357568,FL,AD
ADNI_AD,0,Precuneus,-0.7773450069714967,PL,AD
ADNI_AD,0,Putamen,-0.4360254192958068,BG,AD
ADNI_AD,0,Subcallosal Area,-0.6695567769700367,FL,AD
ADNI_AD,0,Superior Frontal Gyrus,-0.5940037517281174,FL,AD
ADNI_AD,0,Superior Frontal Gyrus Medial Segment,-0.7343850167909367,FL,AD
ADNI_AD,0,Superior Occipital Gyrus,-0.678540133345449,OL,AD
ADNI_AD,0,Superior Parietal Lobule,-0.6137225449500526,PL,AD
ADNI_AD,0,Superior Temporal Gyrus,-1.0358878874794988,TL-O,AD
ADNI_AD,0,Supplementary Motor Cortex,-0.400260049195875,FL,AD
ADNI_AD,0,Supramarginal Gyrus,-0.8701610433830003,PL,AD
ADNI_AD,0,Temporal Pole,-1.2124493290123406,TL-O,AD
ADNI_AD,0,Thalamus Proper,-0.389774583977329,SC,AD
ADNI_AD,0,Transverse Temporal Gyrus,-0.5278914583686551,TL-O,AD
ADNI_AD,0,Triangular Part of the Inferior Frontal Gyrus,-0.3373437420826007,FL,AD
ADNI_AD,0,Ventral DC,-0.5987904229584727,SC,AD
ADNI_AD,1,Accumbens,-0.7542848426472042,BG,AD
ADNI_AD,1,Amygdala,-0.5670137424862255,TL-M,AD
ADNI_AD,1,Angular Gyrus,-0.7471838527807109,PL,AD
ADNI_AD,1,Anterior Cingulate Gyrus,-0.706030820094385,Cing,AD
ADNI_AD,1,Anterior Insula,-0.43108085810733626,Ins,AD
ADNI_AD,1,Anterior Orbital Gyrus,-0.38130089610009654,FL,AD
ADNI_AD,1,Basal Forebrain,-0.6882454535259431,SC,AD
ADNI_AD,1,Calcarine Cortex,-0.4101557391042778,OL,AD
ADNI_AD,1,Caudate,-0.3975274190718586,BG,AD
ADNI_AD,1,Central Operculum,-0.7855682304175675,FL,AD
ADNI_AD,1,Cerebral White Matter,0.08952227029544353,SC,AD
ADNI_AD,1,Cuneus,-0.5437637099724459,OL,AD
ADNI_AD,1,Entorhinal Area,-0.38463366096628826,TL-M,AD
ADNI_AD,1,Frontal Operculum,-0.8844737745559884,FL,AD
ADNI_AD,1,Frontal Pole,-0.26153889813798525,FL,AD
ADNI_AD,1,Fusiform Gyrus,-0.661809476646508,TL-O,AD
ADNI_AD,1,Gyrus Rectus,-0.5748281973096179,FL,AD
ADNI_AD,1,Hippocampus,-0.774161327622167,TL-M,AD
ADNI_AD,1,Inferior Occipital Gyrus,-0.7091782412179585,OL,AD
ADNI_AD,1,Inferior Temporal Gyrus,-0.6064371677509051,TL-O,AD
ADNI_AD,1,Lateral Orbital Gyrus,-0.5396472648421925,FL,AD
ADNI_AD,1,Lingual Gyrus,-0.4808812825556407,OL,AD
ADNI_AD,1,Medial Frontal Cortex,-0.8113866333285553,FL,AD
ADNI_AD,1,Medial Orbital Gyrus,-0.7960075309323222,FL,AD
ADNI_AD,1,Middle Cingulate Gyrus,-0.757750515558419,Cing,AD
ADNI_AD,1,Middle Frontal Gyrus,-0.7409511842920323,FL,AD
ADNI_AD,1,Middle Occipital Gyrus,-0.5404443028623555,OL,AD
ADNI_AD,1,Middle Temporal Gyrus,-0.827852811450388,TL-O,AD
ADNI_AD,1,Occipital Fusiform Gyrus,-0.507977733576277,OL,AD
ADNI_AD,1,Occipital Pole,-0.5926394437526621,OL,AD
ADNI_AD,1,Opercular Part of the Inferior Frontal Gyrus,-0.7464789543410976,FL,AD
ADNI_AD,1,Orbital Part of the Inferior Frontal Gyrus,-0.4034957517224432,FL,AD
ADNI_AD,1,Pallidum,0.11167317902901407,BG,AD
ADNI_AD,1,Parahippocampus Gyrus,-0.3381814517840707,TL-M,AD
ADNI_AD,1,Parietal Operculum,-0.5704206118654531,FL,AD
ADNI_AD,1,Planum Polare,-0.7630596843760599,TL-O,AD
ADNI_AD,1,Planum Temporale,-0.9200637448379395,TL-O,AD
ADNI_AD,1,Postcentral Gyrus,-0.646652538961046,PL,AD
ADNI_AD,1,Postcentral Gyrus Medial Segment,-0.16258740703534655,PL,AD
ADNI_AD,1,Posterior Cingulate Gyrus,-0.8543490766966007,Cing,AD
ADNI_AD,1,Posterior Insula,-0.5147463287732145,Ins,AD
ADNI_AD,1,Posterior Orbital Gyrus,-0.5856262635183968,FL,AD
ADNI_AD,1,Precentral Gyrus,-0.8344241268717163,FL,AD
