Dataset,Subtype,Region,ZS Gray Matter Volume,Cortical Region,Time
ADNI_AD,1,Middle Frontal Gyrus,-0.7409511842920323,FL,AD
ADNI_AD,1,Middle Occipital Gyrus,-0.5404443028623555,OL,AD
ADNI_AD,1,Middle Temporal Gyrus,-0.827852811450388,TL-O,AD
ADNI_AD,1,Occipital Fusiform Gyrus,-0.507977733576277,OL,AD
ADNI_AD,1,Occipital Pole,-0.5926394437526621,OL,AD
ADNI_AD,1,Opercular Part of the Inferior Frontal Gyrus,-0.7464789543410976,FL,AD
ADNI_AD,1,Orbital Part of the Inferior Frontal Gyrus,-0.4034957517224432,FL,AD
ADNI_AD,1,Pallidum,0.11167317902901407,BG,AD
ADNI_AD,1,Parahippocampus Gyrus,-0.3381814517840707,TL-M,AD
ADNI_AD,1,Parietal Operculum,-0.5704206118654531,FL,AD
ADNI_AD,1,Planum Polare,-0.7630596843760599,TL-O,AD
ADNI_AD,1,Planum Temporale,-0.9200637448379395,TL-O,AD
ADNI_AD,1,Postcentral Gyrus,-0.646652538961046,PL,AD
ADNI_AD,1,Postcentral Gyrus Medial Segment,-0.16258740703534655,PL,AD
ADNI_AD,1,Posterior Cingulate Gyrus,-0.8543490766966007,Cing,AD
ADNI_AD,1,Posterior Insula,-0.5147463287732145,Ins,AD
ADNI_AD,1,Posterior Orbital Gyrus,-0.5856262635183968,FL,AD
ADNI_AD,1,Precentral Gyrus,-0.8344241268717163,FL,AD
ADNI_AD,1,Precentral Gyrus Medial Segment,-0.3309949747014504,FL,AD
ADNI_AD,1,Precuneus,-0.8947982785028045,PL,AD
ADNI_AD,1,Putamen,-0.5823285052006159,BG,AD
ADNI_AD,1,Subcallosal Area,-0.7729348215519498,FL,AD
ADNI_AD,1,Superior Frontal Gyrus,-0.585235412378756,FL,AD
ADNI_AD,1,Superior Frontal Gyrus Medial Segment,-0.8146808879391065,FL,AD
ADNI_AD,1,Superior Occipital Gyrus,-0.3587269608819861,OL,AD
ADNI_AD,1,Superior Parietal Lobule,-0.4819471435625875,PL,AD
ADNI_AD,1,Superior Temporal Gyrus,-0.9227937788103818,TL-O,AD
ADNI_AD,1,Supplementary Motor Cortex,-0.6322404391811821,FL,AD
ADNI_AD,1,Supramarginal Gyrus,-0.4308553392084444,PL,AD
ADNI_AD,1,Temporal Pole,-0.4620191957689567,TL-O,AD
ADNI_AD,1,Thalamus Proper,-0.7828584192678927,SC,AD
ADNI_AD,1,Transverse Temporal Gyrus,-0.9017958906053883,TL-O,AD
ADNI_AD,1,Triangular Part of the Inferior Frontal Gyrus,-0.7325475700613068,FL,AD
ADNI_AD,1,Ventral DC,-0.30228516455168203,SC,AD
ADNI_AD,2,Accumbens,0.8321179315319018,BG,AD
ADNI_AD,2,Amygdala,-0.4459410404190657,TL-M,AD
ADNI_AD,2,Angular Gyrus,0.21766288131166503,PL,AD
ADNI_AD,2,Anterior Cingulate Gyrus,1.0561086480737667,Cing,AD
ADNI_AD,2,Anterior Insula,0.43257411158640235,Ins,AD
ADNI_AD,2,Anterior Orbital Gyrus,0.5288951724256111,FL,AD
ADNI_AD,2,Basal Forebrain,0.19557578869326916,SC,AD
ADNI_AD,2,Calcarine Cortex,-0.17560785534300682,OL,AD
ADNI_AD,2,Caudate,0.8277706396762421,BG,AD
ADNI_AD,2,Central Operculum,0.7023959193607902,FL,AD
ADNI_AD,2,Cerebral White Matter,-0.22614956376986037,SC,AD
ADNI_AD,2,Cuneus,0.16508502952446782,OL,AD
ADNI_AD,2,Entorhinal Area,-0.23133055664308338,TL-M,AD
ADNI_AD,2,Frontal Operculum,0.6168979987226162,FL,AD
ADNI_AD,2,Frontal Pole,0.8092740931496645,FL,AD
ADNI_AD,2,Fusiform Gyrus,-0.028944958914264757,TL-O,AD
ADNI_AD,2,Gyrus Rectus,0.8053847562651784,FL,AD
ADNI_AD,2,Hippocampus,-0.2843323912126318,TL-M,AD
ADNI_AD,2,Inferior Occipital Gyrus,-0.24336179136910088,OL,AD
ADNI_AD,2,Inferior Temporal Gyrus,-0.2343237478991954,TL-O,AD
ADNI_AD,2,Lateral Orbital Gyrus,0.4739629969726751,FL,AD
